iter	RMSE
0	14.72313558
1	14.24211346
2	13.77011727
3	13.38208259
4	12.96283168
5	12.56492748
6	12.18620809
7	11.80970637
8	11.44297397
9	11.07792498
10	10.79362702
11	10.45376991
12	10.14616273
13	9.841577051
14	9.556271088
15	9.259321289
16	8.974612645
17	8.705966978
18	8.45380366
19	8.186670114
20	7.943886111
21	7.689964599
22	7.439945946
23	7.213276762
24	7.009478644
25	6.817440527
26	6.606353164
27	6.40639723
28	6.213130105
29	6.028605057
30	5.847956126
31	5.692204959
32	5.521403869
33	5.375423746
34	5.220925598
35	5.08180449
36	4.942531846
37	4.809702056
38	4.678020685
39	4.536493956
40	4.413204219
41	4.291721494
42	4.181213695
43	4.072279687
44	3.972906683
45	3.869009836
46	3.768386757
47	3.679187187
48	3.579198502
49	3.499738619
50	3.411508208
51	3.338052114
52	3.26010966
53	3.174329325
54	3.105772168
55	3.029766349
56	2.957368122
57	2.883943944
58	2.816241615
59	2.745231172
60	2.678657062
61	2.611808767
62	2.551477954
63	2.491681326
64	2.433540328
65	2.382088998
66	2.33066623
67	2.280359779
68	2.232926655
69	2.185647068
70	2.145541381
71	2.10312991
72	2.053837767
73	2.006728253
74	1.961800032
75	1.927453202
76	1.889787198
77	1.853342206
78	1.816052885
79	1.781723558
80	1.750356098
81	1.720187672
82	1.689449736
83	1.65601209
84	1.620955499
85	1.593394949
86	1.560387747
87	1.532401801
88	1.50545853
89	1.478853378
90	1.458939922
91	1.434747291
92	1.40852314
93	1.386987303
94	1.364216004
95	1.342315058
96	1.320270386
97	1.299623461
98	1.2816391
99	1.264263252
100	1.243161949
101	1.226149258
102	1.209111256
103	1.191009576
104	1.186447404
105	1.169363091
106	1.164806062
107	1.14812766
108	1.132260856
109	1.118895356
110	1.105014126
111	1.090156578
112	1.082101896
113	1.078538554
114	1.074901028
115	1.059721652
116	1.046461433
117	1.042465417
118	1.030785875
119	1.026792118
120	1.02222892
121	1.009186911
122	1.006236198
123	1.002218393
124	0.9922946583
125	0.9818577505
126	0.9716764414
127	0.9636607575
128	0.9605160232
129	0.9576771625
130	0.9544642794
131	0.951039214
132	0.9405021669
133	0.9340168714
134	0.9249592999
135	0.9212961135
136	0.917630259
137	0.915274876
138	0.9107004466
139	0.9080344497
140	0.9054788701
141	0.897107912
142	0.8914143891
143	0.8875989047
144	0.8854911239
145	0.8822746056
146	0.8784835725
147	0.875196825
148	0.8643410095
149	0.8578741287
150	0.8500195245
151	0.842082014
152	0.83367569
153	0.8261293456
154	0.8203710786
155	0.8186051252
156	0.8164707123
157	0.809995685
158	0.8081018322
159	0.8007139624
160	0.7985737399
161	0.7968421413
162	0.7951655634
163	0.7929756682
164	0.7877045417
165	0.7819390262
166	0.7780657573
167	0.7757928207
168	0.769302564
169	0.7624277964
170	0.7609085644
171	0.7580806168
172	0.7554845875
173	0.75370687
174	0.7507809863
175	0.7496952542
176	0.7480924297
177	0.7417671701
178	0.7348726479
179	0.7291447646
180	0.7277021429
181	0.7216677355
182	0.7202215905
183	0.7177289725
184	0.7157631936
185	0.7091850997
186	0.7078353899
187	0.7062918097
188	0.704937968
189	0.7025277021
190	0.6974361757
191	0.6911118566
192	0.6898347317
193	0.6835650096
194	0.6783418873
195	0.6727053277
196	0.6670740255
197	0.6652031152
198	0.6641289615
199	0.6600504563
200	0.6550955673
201	0.6529963684
202	0.6502858883
203	0.6447219198
204	0.6436990323
205	0.6430068056
206	0.6414423699
207	0.63731755
208	0.6354406433
209	0.6315233145
210	0.6262749479
211	0.6239249714
212	0.619012858
213	0.6179810303
214	0.6171275707
215	0.6161353297
216	0.6150001011
217	0.6128278215
218	0.6083906379
219	0.6077602602
220	0.6063280332
221	0.6033919775
222	0.6027437922
223	0.6011945974
224	0.6003192433
225	0.5969055515
226	0.5954829902
227	0.5924700252
228	0.5918852812
229	0.5912339069
230	0.5892791048
231	0.588607624
232	0.5878515027
233	0.5844462344
234	0.5818914866
235	0.5780620892
236	0.5775526261
237	0.5745449879
238	0.5739527
239	0.5712151936
240	0.5698918248
241	0.5693286625
242	0.5653930755
243	0.5631452651
244	0.5601074748
245	0.5581409547
246	0.5577366217
247	0.5557813079
248	0.5525830945
249	0.5509207116
250	0.5493132171
251	0.546648969
252	0.5445127942
253	0.5419912836
254	0.5403855294
255	0.5382914036
256	0.5358709083
257	0.5348069013
258	0.5343629631
259	0.5322073108
260	0.5311893571
261	0.5307675689
262	0.5299476126
263	0.5280204311
264	0.5270660172
265	0.5266746761
266	0.5262907631
267	0.5250402729
268	0.5215130624
269	0.5211476748
270	0.5182812021
271	0.5164271501
272	0.515532617
273	0.5125795
274	0.5117264699
275	0.5113917978
276	0.5110635051
277	0.5078916826
278	0.5066940172
279	0.5040392707
280	0.5012619299
281	0.5009567605
282	0.4982925027
283	0.4966924381
284	0.4961009592
285	0.4958145645
286	0.4935819812
287	0.4933036708
288	0.4915348021
289	0.4912648096
290	0.4886032001
291	0.4869543183
292	0.4849822348
